details_url,authority,bis_number,object,address,construction_type,phase,id
https://bis.gov.lv/bisp/lv/planned_constructions/897557,Ķekavas novada pašvaldības būvvalde,BIS-BL-897557-15843,Dzīvojamā ēka “Eži”,"""Eži"", Baldones pag., Ķekavas nov., LV-2125",Jauna būvniecība,Iecere,bis:BIS-BL-897557-15843
https://bis.gov.lv/bisp/lv/planned_constructions/897556,Siguldas novada būvvalde,BIS-BL-897556-20966,-,"Pulkveža Brieža iela 113, Sigulda, Siguldas nov., LV-2150",Vienkāršota pārbūve,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-897556-20966
https://bis.gov.lv/bisp/lv/planned_constructions/897296,Ķekavas novada pašvaldības būvvalde,BIS-BL-897296-15830,Saimniecības ēka,"""Dižskābarži"", Daugmales pag., Ķekavas nov., LV-2124",Jauna būvniecība,Iecere,bis:BIS-BL-897296-15830
https://bis.gov.lv/bisp/lv/planned_constructions/897219,Jūrmalas Būvvalde,BIS-BL-897219-22986,Dzīvojamā māja,"Dāvja iela 4A, Jūrmala, LV-2008",Jauna būvniecība,Iecere,bis:BIS-BL-897219-22986
https://bis.gov.lv/bisp/lv/planned_constructions/897211,Mārupes novada Būvvalde,BIS-BL-897211-13884,Saimniecības ēka,"""Vasraudži"", Mārupes pag., Mārupes nov., LV-2166",Jauna būvniecība,Iecere,bis:BIS-BL-897211-13884
https://bis.gov.lv/bisp/lv/planned_constructions/897084,Ogres novada pašvaldības centrālās administrācijas Ogres novada būvvalde,BIS-BL-897084-16773,-,"Tīnūžu šoseja 7, Ikšķile, Ogres nov., LV-5052",Vienkāršota pārbūve,Iecere,bis:BIS-BL-897084-16773
https://bis.gov.lv/bisp/lv/planned_constructions/897081,Ropažu novada pašvaldības būvvalde,BIS-BL-897081-12583,Automašīnas nojume,"Aveņu iela 2A, Makstenieki, Garkalnes pag., Ropažu nov., LV-2137",Jauna būvniecība,Iecere,bis:BIS-BL-897081-12583
https://bis.gov.lv/bisp/lv/planned_constructions/897052,Siguldas novada būvvalde,BIS-BL-897052-20999,Saimniecības ēka Nr.2,"""Loras parks"", Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-897052-20999
https://bis.gov.lv/bisp/lv/planned_constructions/897051,Siguldas novada būvvalde,BIS-BL-897051-20998,Publiska ēka,"""Loras parks"", Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-897051-20998
https://bis.gov.lv/bisp/lv/planned_constructions/897038,Ogres novada pašvaldības centrālās administrācijas Ogres novada būvvalde,BIS-BL-897038-16707,Dzīvojamās mājas pārbūve ēkai 001,"""Druvas"", Madliena, Madlienas pag., Ogres nov., LV-5045",Pārbūve,Iecere,bis:BIS-BL-897038-16707
https://bis.gov.lv/bisp/lv/planned_constructions/896950,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-896950-11284,Ārējā elektroapgāde,"Strazdiņu iela 26, Salaspils, Salaspils nov., LV-2121",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-896950-11284
https://bis.gov.lv/bisp/lv/planned_constructions/896941,Jūrmalas Būvvalde,BIS-BL-896941-22982,Siltumnīca,"Rītupes iela 32, Jūrmala, LV-2011",Jauna būvniecība,Iecere,bis:BIS-BL-896941-22982
https://bis.gov.lv/bisp/lv/planned_constructions/896864,Ķekavas novada pašvaldības būvvalde,BIS-BL-896864-15853,Dzīvojamā māja,"Podziņu iela 1A, Mellupi, Ķekavas pag., Ķekavas nov., LV-2113",Jauna būvniecība,Iecere,bis:BIS-BL-896864-15853
https://bis.gov.lv/bisp/lv/planned_constructions/896811,Mārupes novada Būvvalde,BIS-BL-896811-13879,Savrupmāja,"Strupu ceļš 38, Mežāres, Babītes pag., Mārupes nov., LV-2101",Jauna būvniecība,Iecere,bis:BIS-BL-896811-13879
https://bis.gov.lv/bisp/lv/planned_constructions/896784,Ropažu novada pašvaldības būvvalde,BIS-BL-896784-12615,Laukums,"Priežu iela 6, Vangaži, Ropažu nov., LV-2136",Jauna būvniecība,Iecere,bis:BIS-BL-896784-12615
https://bis.gov.lv/bisp/lv/planned_constructions/896671,Siguldas novada būvvalde,BIS-BL-896671-20965,Pagrabs,"""Mežmalītes"", Allažu pag., Siguldas nov., LV-2154",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-896671-20965
https://bis.gov.lv/bisp/lv/planned_constructions/896664,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-896664-11274,Savrupmāju jaunbūve,"Stirnu iela 11, Salaspils, Salaspils nov., LV-2169",Jauna būvniecība,Iecere,bis:BIS-BL-896664-11274
